data_year,arrestee_id,nibrs_arrestee_weapon_id,weapon_id
2021,42182498,,51
2021,42171748,,51
2021,42375950,,51
2021,42215838,,51
2021,42148427,,51
2021,42194211,,51
2021,41446092,,51
2021,43309689,,51
2021,42495201,,51
2021,41379097,,51
2021,43948085,,51
2021,42194293,,51
2021,42175900,,51
2021,44108956,,51
2021,42256737,,51
2021,41790555,,51
2021,41255868,,51
2021,41190885,,51
2021,43253533,,51
2021,41805589,,51
2021,45091228,,51
2021,41818903,,51
2021,43240777,,51
2021,42495202,,51
2021,42716467,,51
2021,42716468,,51
2021,41224625,,51
2021,43949119,,51
2021,42176849,,51
2021,41234666,,51
2021,42176847,,51
2021,42176868,,52
2021,42176869,,52
2021,42249192,,51
2021,42718571,,51
2021,42210730,,51
2021,41382810,,51
2021,42299921,,51
2021,42299918,,51
2021,42299919,,51
2021,42299920,,51
2021,42299922,,51
2021,42299923,,51
2021,42299924,,53
2021,42299925,,51
2021,42310104,,51
2021,42210251,,51
2021,41935121,,51
2021,43309598,,51
2021,42927364,,51
2021,43675831,,51
2021,42140864,,51
2021,42335895,,51
2021,42371146,,51
2021,41930116,,51
2021,42371155,,51
2021,42371161,,51
2021,42368960,,51
2021,44977609,,51
2021,42418048,,51
2021,42418062,,51
2021,42418065,,51
2021,42449702,,51
2021,42449707,,51
2021,41470806,,51
2021,42500726,,51
2021,42215839,,51
2021,43309690,,51
2021,42716124,,51
2021,42716125,,51
2021,44988200,,51
2021,42171749,,51
2021,41190886,,51
2021,42500739,,51
2021,42710327,,51
2021,44405738,,51
2021,41460178,,51
2021,42162696,,51
2021,41303735,,51
2021,42500915,,51
2021,41303734,,51
2021,41258988,,51
2021,42570109,,51
2021,42570114,,51
2021,41951114,,51
2021,42570110,,4
2021,42570111,,4
2021,41951115,,51
2021,41362281,,51
2021,42570102,,51
2021,41818549,,51
2021,41677683,,51
2021,42625725,,51
2021,42625726,,51
2021,43229418,,51
2021,42678627,,51
2021,42678628,,51
2021,41668620,,51
2021,42368961,,51
2021,41364628,,51
2021,41364629,,51
2021,42368962,,51
2021,41304996,,51
2021,42792617,,51
2021,42792618,,51
2021,42792619,,51
2021,42792620,,51
2021,42792621,,51
2021,42792616,,51
2021,42927365,,51
2021,42140865,,51
2021,43631481,,51
2021,43070137,,51
2021,41362956,,51
2021,41364610,,51
2021,42992642,,51
2021,42992643,,51
2021,42992638,,51
2021,42992639,,51
2021,43058988,,51
2021,43058987,,51
2021,43058985,,51
2021,43058986,,51
2021,43058984,,51
2021,43211224,,51
2021,41444881,,51
2021,42495203,,51
2021,43211230,,51
2021,42358440,,51
2021,43291421,,51
2021,43291433,,51
2021,43291445,,51
2021,43291457,,51
2021,43411559,,51
2021,43411566,,51
2021,43411570,,51
2021,43411574,,51
2021,41379099,,51
2021,43411581,,51
2021,43411579,,51
2021,42716126,,51
2021,43501316,,51
2021,41346918,,51
2021,43501321,,51
2021,42215840,,51
2021,43309599,,51
2021,42124245,,51
2021,43501327,,51
2021,43501324,,51
2021,43501325,,51
2021,41907720,,51
2021,43565947,,51
2021,44888637,,51
2021,42347271,,51
2021,43565950,,51
2021,43565951,,51
2021,43565952,,51
2021,43616747,,51
2021,43616748,,51
2021,41680230,,51
2021,43616750,,51
2021,43616751,,51
2021,43616745,,51
2021,43053024,,51
2021,43660148,,51
2021,43660149,,51
2021,43660162,,51
2021,42148428,,51
2021,42153241,,51
2021,43816694,,51
2021,42150522,,51
2021,43292424,,51
2021,41378254,,51
2021,43816727,,51
2021,43816755,,51
2021,41212201,,51
2021,43816798,,51
2021,41823644,,51
2021,43816803,,51
2021,43447300,,51
2021,43447301,,51
2021,42927106,,51
2021,41232852,,51
2021,43929674,,52
2021,42482785,,51
2021,42482786,,51
2021,42020357,,51
2021,42278967,,51
2021,43932142,,52
2021,43932140,,51
2021,42754463,,51
2021,41810604,,51
2021,43932137,,51
2021,43932150,,51
