arrestee_id,weapon_id
41088830,51
41092629,51
41092632,51
41092634,51
41092635,51
41092638,51
41092639,51
41095829,51
41095830,51
41095831,51
41095833,51
41095834,51
41095837,51
41095838,51
41095839,51
41095840,51
41095841,51
41095842,51
41095843,51
41095845,51
41098186,52
41321193,51
41321564,51
41323322,51
41323323,51
41323331,51
41323333,51
41323334,51
41323336,51
41323337,51
41323338,51
41323340,51
41323346,51
41323350,51
41323352,51
41323356,51
41323357,51
41323358,51
41323359,51
41323361,51
41323377,51
41323559,51
41324006,51
41324271,51
41324314,51
41326843,51
41326849,51
41329407,51
41329409,51
41329415,51
41329420,51
41329429,51
41329432,51
41329434,51
41329435,51
41329437,51
41329438,51
41329439,51
41329445,51
41329446,51
41329456,51
41329459,51
41329472,51
41329474,51
41329593,51
41329613,51
41329659,51
41329711,51
41329712,51
41719092,51
41719093,51
41719094,51
41719095,51
41719096,51
41719097,51
41719098,51
41719099,51
41719100,51
41719101,51
41719103,51
41719104,51
41719105,51
41719106,51
41719120,51
41719121,51
41719122,51
41719123,51
41719124,51
41719125,51
41719126,51
41719127,51
41719128,51
41719131,51
41719132,51
41719133,51
41719134,51
41719135,51
41719136,3
41719145,51
41719159,51
41719160,51
41719164,51
41719165,4
41719168,51
41719172,51
41719173,51
41719178,51
41719180,51
41719182,51
41719186,51
41719190,51
41719193,51
41719204,51
41719207,51
41719213,51
41719215,51
41719216,51
41719217,51
41719218,51
41719219,51
41719221,51
41719225,51
41719226,51
41719230,51
41719231,51
41719232,51
41719238,51
41719240,51
41719244,51
41719245,51
41719246,51
41719248,51
41719249,51
41719250,51
41719251,51
41719252,51
41719253,51
41719255,51
41719258,51
41719259,51
41719260,51
41719262,51
41719263,51
41719269,51
41719276,51
41719279,51
41719280,51
41719281,51
41719284,51
41719286,51
41719287,51
41719289,51
41719292,51
41719293,51
41719294,51
41719295,3
41719296,51
41719297,51
41719298,51
41719299,3
41719301,51
41719302,51
41719304,51
41719305,51
41719306,51
41719307,51
41719308,51
41719309,51
41719316,51
41719317,51
41719318,51
41719367,51
41719373,51
41719374,51
41719375,51
41719376,51
41719378,3
41719381,51
41719382,51
41719383,51
41719384,51
41719385,51
41719386,51
41719388,51
41719393,51
41719394,3
41719395,51
41719396,51
41719397,51
41719400,51
41719405,51
41719407,51
41719408,51
41719409,51
41719412,51
41719413,51
41719425,51
41719426,51
41719427,51
41719428,51
41719436,51
41719440,51
41719452,51
41719453,51
41719454,51
41719455,51
41719457,51
41719461,51
41719462,51
41719463,51
41719465,51
41719466,51
41719467,51
41719468,51
41719469,51
41719473,51
41719474,51
41719476,51
41719477,51
41719479,51
41719480,51
41719483,51
41719484,51
41719485,51
41719489,51
41719491,51
41719493,51
41719498,51
41720944,51
41720945,51
41720946,51
41720947,51
41720948,51
41720950,51
41720951,51
41720956,51
41720957,51
41720958,51
41720959,51
41720960,51
41720962,51
41720969,51
41720973,51
41720974,51
41720975,51
41720976,51
41720977,51
41720978,51
41720979,51
41720980,51
41720981,51
41720983,51
41720984,51
41720985,51
41720986,51
41720989,51
41720991,51
41720992,51
41720993,51
41720996,51
41720997,51
41720999,51
41721001,51
41721002,51
41721003,51
41721004,51
41721011,51
41721014,51
41721015,51
41721016,51
41721018,51
41721019,51
41721020,51
41721021,51
41721023,51
41721032,51
41721038,51
41721047,51
41721050,51
41721055,51
41721058,51
41721059,51
41721063,51
41721066,51
41721067,51
41721068,51
41721069,51
41721075,51
41721081,51
41721085,51
41721087,51
41721098,51
41721100,51
41721110,51
41721114,51
41721119,51
41721120,51
41721126,51
41721128,51
41721129,51
41721130,51
41721137,51
41721138,51
41721145,51
41721146,51
41721147,51
41721149,51
41721151,51
41721154,51
41721155,52
41721156,51
41721157,51
41721158,51
41721159,51
41721160,51
41721161,51
41721162,51
41721163,51
41721164,51
41721165,51
41721166,51
41721167,51
41721168,51
41721169,51
41721170,51
41721173,52
41721174,51
41721175,51
41721176,51
41721177,51
41721178,51
41721186,51
41721187,51
41721188,51
41721189,51
41721191,51
41721192,51
41721253,51
41721262,51
41721263,51
41721264,51
41721265,51
41721266,3
41721267,51
41721269,51
41721275,51
41721276,51
41721277,51
41721278,51
41721279,51
41721281,53
41721282,51
41721284,51
41721285,51
41721286,51
41721287,51
41721288,51
41721290,51
41721291,51
41721293,51
41721294,51
41721295,51
41721296,51
41721297,51
41721300,51
41721301,51
41721302,51
41721315,4
41721316,51
41721317,51
41721319,51
41721321,51
41721323,51
41721324,51
41721330,51
41721336,51
41721339,51
41721340,51
41721343,51
41721344,51
41721345,51
41721346,51
41721354,51
41721356,51
41721357,51
41721370,51
41721371,51
41721372,52
41721383,51
41721387,51
41721388,51
41721389,51
41721390,51
41721391,51
41721392,51
41721395,51
41721396,51
41721399,51
41721400,51
41721401,51
41721402,51
41721404,51
41721407,51
41721409,51
41721410,51
41721411,51
41721417,51
41721418,51
41721422,51
41721433,51
41721436,51
41721439,51
41721450,51
41721452,51
41721461,51
41721464,51
41721465,51
41721473,51
41721477,51
41721480,51
41721481,4
41721482,51
41721484,51
41721485,3
41721486,51
41721487,51
41721488,51
41721489,51
41721490,52
41721491,51
41721492,51
41721493,3
41721494,51
41721495,51
41721496,51
41721497,51
41721498,51
41721499,3
41721503,51
41721504,51
41721505,51
41721506,51
41721507,51
41721508,51
41721509,51
41721510,51
41721511,3
41721512,51
41721513,51
41721514,51
41721515,51
41721516,51
41721517,51
41721520,1
41721522,51
41721525,51
41721526,51
41721527,51
41721529,51
41721532,9
41721534,51
